City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Syedove,47.0768,38.156,39.99,97,100,8.25,UA,2022-02-03 00:46:44
133,Maragogipe,-12.7778,-38.9194,84.25,88,0,4.18,BR,2022-02-03 00:46:45
134,Dondo,-19.6094,34.7431,76.51,93,6,3.85,MZ,2022-02-03 00:46:45
135,Lavrentiya,65.5833,-171.0,2.82,63,1,22.62,RU,2022-02-03 00:43:43
136,Monte Patria,-30.6919,-70.9467,71.96,47,0,3.4,CL,2022-02-03 00:46:45
137,Insar,53.8653,44.3738,23.54,97,100,4.36,RU,2022-02-03 00:47:46
138,Pingliang,35.5392,106.6861,18.84,91,100,2.91,CN,2022-02-03 00:47:46
139,Los Llanos De Aridane,28.6585,-17.9182,64.13,69,75,5.99,ES,2022-02-03 00:47:46
140,Springbok,-29.6643,17.8865,60.3,77,87,4.34,ZA,2022-02-03 00:47:47
141,Port Hedland,-20.3167,118.5667,86.05,54,84,10.36,AU,2022-02-03 00:47:47
142,Tarko-Sale,64.9225,77.785,-1.14,96,100,15.23,RU,2022-02-03 00:47:47
143,Chuy,-33.6971,-53.4616,71.13,86,0,11.63,UY,2022-02-03 00:47:48
144,Bintulu,3.1667,113.0333,77.41,94,20,1.99,MY,2022-02-03 00:47:48
145,Pascagoula,30.3658,-88.5561,66.06,99,98,9.46,US,2022-02-03 00:47:48
146,Yinchuan,38.4681,106.2731,19.08,24,100,8.75,CN,2022-02-03 00:47:49
147,Mehamn,71.0357,27.8492,24.08,74,100,10.51,NO,2022-02-03 00:47:49
148,Charters Towers,-20.1,146.2667,86.68,62,100,9.37,AU,2022-02-03 00:43:33
149,Klaksvik,62.2266,-6.589,38.32,76,100,10.94,FO,2022-02-03 00:47:49
150,Huarmey,-10.0681,-78.1522,71.85,79,100,11.12,PE,2022-02-03 00:47:50
151,Kolomna,55.0794,38.7783,8.85,98,98,3.74,RU,2022-02-03 00:47:50
152,Itamarandiba,-17.8572,-42.8589,66.31,99,100,3.74,BR,2022-02-03 00:47:50
153,Chipinge,-20.1883,32.6236,64.04,88,5,2.75,ZW,2022-02-03 00:47:50
154,Hovd,48.0056,91.6419,-6.83,97,89,1.81,MN,2022-02-03 00:47:51
155,Sedan,49.6667,5.0,47.32,98,100,4.09,FR,2022-02-03 00:47:51
156,Umtata,-31.5889,28.7844,70.52,71,100,1.39,ZA,2022-02-03 00:47:52
157,Guilin,25.2819,110.2864,39.31,84,93,6.35,CN,2022-02-03 00:45:24
158,Sitka,57.0531,-135.33,39.09,93,100,8.05,US,2022-02-03 00:47:52
159,Roald,62.5833,6.1333,34.32,69,100,11.5,NO,2022-02-03 00:47:52
160,Kultuk,51.7208,103.6956,0.45,92,73,5.41,RU,2022-02-03 00:47:53
161,Prince Rupert,54.3161,-130.3201,39.29,100,100,4.61,CA,2022-02-03 00:47:53
162,Talnakh,69.4865,88.3972,-9.08,99,99,6.62,RU,2022-02-03 00:47:53
163,Taos,36.4072,-105.5731,19.98,83,100,1.99,US,2022-02-03 00:47:53
164,Ust-Maya,60.4167,134.5333,-19.39,91,100,2.8,RU,2022-02-03 00:47:54
165,Ornskoldsvik,63.2909,18.7153,5.95,92,75,4.61,SE,2022-02-03 00:47:54
166,Dukat,62.55,155.55,-11.7,97,100,5.79,RU,2022-02-03 00:47:54
167,Medea,36.2642,2.7539,30.65,59,0,3.51,DZ,2022-02-03 00:47:55
168,Vagur,61.4732,-6.8119,39.42,87,100,7.9,FO,2022-02-03 00:47:55
169,Dikson,73.5069,80.5464,-6.81,97,100,12.28,RU,2022-02-03 00:47:55
170,Hamilton,39.1834,-84.5333,45.21,96,100,1.01,US,2022-02-03 00:43:51
171,Jumla,29.2747,82.1838,34.7,83,86,5.14,NP,2022-02-03 00:47:55
172,Saint-Pierre,-21.3393,55.4781,80.28,89,100,33.38,RE,2022-02-03 00:46:18
173,Georgetown,5.4112,100.3354,80.53,92,20,0.0,MY,2022-02-03 00:45:13
174,Abu Samrah,35.3029,37.1841,47.57,54,100,11.41,SY,2022-02-03 00:47:56
175,College,64.8569,-147.8028,-6.14,72,20,3.44,US,2022-02-03 00:47:46
176,Moree,-29.4667,149.85,75.22,83,100,9.22,AU,2022-02-03 00:47:56
177,Katangli,51.7102,143.2326,4.15,93,100,21.47,RU,2022-02-03 00:47:56
178,Dunedin,-45.8742,170.5036,54.7,92,100,7.05,NZ,2022-02-03 00:47:41
179,Husavik,66.0449,-17.3389,10.31,92,86,1.28,IS,2022-02-03 00:48:57
180,Coquimbo,-29.9533,-71.3436,63.5,82,6,5.48,CL,2022-02-03 00:48:57
181,Hofn,64.2539,-15.2082,30.47,56,100,7.34,IS,2022-02-03 00:48:19
