City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,63,75,9.22,light rain
108,Ahipara,NZ,-35.1667,173.1667,70.23,87,90,12.88,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,79.32,79,100,6.87,light rain
110,Agogo,GH,6.8,-1.0819,80.08,21,3,2.53,clear sky
111,Novoagansk,RU,61.9449,76.6625,17.56,94,100,10.22,overcast clouds
112,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
113,Coolum Beach,AU,-26.5333,153.1,71.33,93,99,1.99,overcast clouds
114,Nogliki,RU,51.8333,143.1667,5.72,92,100,20.58,light snow
115,Richards Bay,ZA,-28.783,32.0377,79.54,87,78,9.57,broken clouds
116,Neuquen,AR,-38.9516,-68.0591,91.29,25,0,11.5,clear sky
117,Hithadhoo,MV,-0.6,73.0833,81.57,71,55,6.78,broken clouds
118,Salcininkai,LT,54.3,25.3833,23.09,97,93,3.78,overcast clouds
119,Victoria,HK,22.2855,114.1577,56.32,81,100,1.01,overcast clouds
120,Tongliao,CN,43.6125,122.2653,-4.34,86,2,8.95,clear sky
121,Sungaipenuh,ID,-2.0833,101.3833,64.71,96,100,2.64,moderate rain
122,Jamestown,US,42.097,-79.2353,31.08,55,100,12.66,snow
123,Samoded,RU,63.6083,40.5111,1.81,99,92,3.4,overcast clouds
124,Inhambane,MZ,-23.865,35.3833,82.38,83,20,8.99,few clouds
125,Esperance,AU,-33.8667,121.9,62.44,77,0,16.28,clear sky
126,Port Moresby,PG,-9.4431,147.1797,72.82,94,40,5.75,scattered clouds
127,Guerrero Negro,MX,27.9769,-114.0611,59.59,26,0,4.29,clear sky
128,Kalmunai,LK,7.4167,81.8167,74.93,78,0,2.15,clear sky
129,Berdigestyakh,RU,62.0989,126.6992,-21.14,99,99,4.27,overcast clouds
130,Vardo,NO,70.3705,31.1107,21.18,93,75,5.75,light snow
